[W],[Ta],[Tr],[R],total_count,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,deltaGmin,A2_normalized
8.0,6.0,4.0,4.0,22,0.0,3.0,2.0,2.5,4,3,0,1,1,2,0,3,2,3,-6.062767422222228,0.10648787180705943
8.0,6.0,4.0,4.0,22,0.0,3.0,2.0,3.0,4,3,0,1,1,1,0,3,2,3,-5.998904555555551,0.2223756543167337
8.0,6.0,4.0,4.0,22,2.0,2.0,0.0,2.0,4,2,1,1,0,2,2,2,0,2,-6.669927199999999,-0.08006314605295824
8.0,6.0,4.0,4.0,22,0.0,3.0,0.0,4.0,4,4,0,1,0,1,0,3,0,4,-7.141929422222217,0.03695487358981548
8.0,6.0,4.0,4.0,22,3.0,2.5,2.0,2.5,4,3,1,2,2,2,3,3,2,3,-6.698649244444446,0.2188806425934044
10.0,6.0,4.0,4.0,24,2.0,2.0,0.0,2.0,4,2,1,1,0,4,2,2,0,2,-6.496305488888893,0.294991699761854
10.0,6.0,4.0,4.0,24,0.0,4.0,2.0,2.5,4,4,0,1,2,2,0,4,2,3,-6.725735511111116,0.136117414561178
10.0,6.0,4.0,4.0,24,2.0,2.0,2.0,3.5,4,5,1,2,1,2,2,2,2,5,-6.844249399999998,0.03470706759461548
10.0,6.0,4.0,4.0,24,2.0,2.0,2.0,3.0,4,4,1,1,1,2,2,2,2,4,-6.227396200000004,-0.21146380696540856
10.0,6.0,4.0,4.0,24,0.0,3.0,0.0,2.5,4,3,0,1,0,2,0,3,0,3,-6.3983171999999975,0.026259434817521545
12.0,6.0,4.0,4.0,26,0.0,2.0,2.0,2.25,4,3,0,1,1,4,0,2,2,3,-5.137849733333332,-0.09771127338733666
12.0,6.0,4.0,4.0,26,0.0,2.0,0.0,3.0,4,5,0,1,0,3,0,2,0,5,-5.951372711111108,0.011144273297924879
12.0,6.0,4.0,4.0,26,2.0,3.0,0.0,2.75,4,4,1,1,0,4,2,3,0,4,-6.229957733333329,0.21115313829318447
12.0,6.0,4.0,4.0,26,0.0,2.0,0.0,2.6666666666666665,4,3,0,1,0,3,0,2,0,3,-5.2809111777777815,-0.20949947730609128
12.0,6.0,4.0,4.0,26,2.0,2.0,0.0,2.75,4,4,2,1,0,4,2,2,0,4,-6.687871511111119,0.12468869342358667
4.0,8.0,4.0,4.0,20,2.0,3.0,2.0,2.0,4,3,2,1,1,1,2,3,2,2,-9.750428399999997,0.20915143189442986
4.0,8.0,4.0,4.0,20,0.0,3.0,0.0,0.0,4,3,0,1,0,0,0,3,0,0,-9.236555088888894,0.0747624582029445
4.0,8.0,4.0,4.0,20,0.0,2.5,2.0,2.0,4,3,0,2,1,1,0,3,2,2,-9.69241662222222,-0.521674606190119
4.0,8.0,4.0,4.0,20,2.0,2.0,2.0,0.0,4,2,2,2,1,0,2,2,2,0,-9.482770733333338,-0.2224210742887222
4.0,8.0,4.0,4.0,20,2.0,5.0,2.0,0.0,4,5,1,1,1,0,2,5,2,0,-9.550020266666666,0.13370872470874448
6.0,8.0,4.0,4.0,22,0.0,3.0,2.0,3.0,4,4,0,2,1,1,0,4,2,3,-9.678986866666664,0.4220338451901163
6.0,8.0,4.0,4.0,22,2.0,3.0,0.0,2.5,4,3,2,1,0,2,2,3,0,3,-9.507337733333328,0.10610677429106227
