,r2_0,mae_0,max_error_0,r2_0_1,mae_0_1,max_error_0_1,max_var_0,min_var_0,mean_var_0,median_var_0,std_var_0,max_var_1,min_var_1,mean_var_1,median_var_1,std_var_1,train_size,coregionalized
0,0.965235646660096,0.035405395398786885,0.13908517148105393,0.965235646660096,0.035405395398786885,0.13908517148105393,0.012957259124918963,0.00045287844662311727,0.00287094306484548,0.002526086219697632,0.0016497181954914673,4.5753372817790785,0.3386664539335774,1.0870586395098678,0.9727033562343271,0.5050583062265226,25,True
1,0.9662495474819052,0.035059635168057615,0.1345606222389497,0.9662495474819052,0.035059635168057615,0.1345606222389497,0.011009016101105829,0.00038690395292739765,0.002442468961981484,0.0021283025489218232,0.0014064868620041237,5.482759104993988,0.19639772050732063,1.266801714429156,1.1146840554343953,0.7137557392269752,25,False
2,0.9147369147455446,0.04851772834978281,0.22335954787544643,0.9147369147455446,0.04851772834978281,0.22335954787544643,0.024744110391565766,0.0008654077529781655,0.0044675508168542525,0.003664754653404324,0.0030078644251232294,7.14619995982863,0.7615588088273967,1.8824930838936422,1.6337416581437423,0.8850849697571571,25,True
3,0.9118371389430981,0.04909453623342824,0.23166095154682353,0.9118371389430981,0.04909453623342824,0.23166095154682353,0.023503464532667273,0.0007862927791491003,0.004177579803977676,0.003417447803226281,0.0028319014512542843,9.679428896953937,0.3628003898158738,1.9921641314491958,1.6218349475502123,1.2566616773631327,25,False
4,0.9499348583982634,0.0407893172552479,0.19380059621826495,0.9499348583982634,0.0407893172552479,0.19380059621826495,0.01830954583789616,0.0008120813279873015,0.004336263426702104,0.0036714698264299957,0.002752403541848941,5.880986887257668,0.3890408541882293,1.5386332018411157,1.3301476792835187,0.8743764056859747,25,True
5,0.95051693979362,0.04070128297554581,0.1948510446694125,0.95051693979362,0.04070128297554581,0.1948510446694125,0.015325036813749193,0.0006763551260648981,0.0036641007320944666,0.003102988831309439,0.0023454279441180092,7.755950856452301,0.38000555799501967,1.8823433710468003,1.6156664481014502,1.1388674914154882,25,False
6,0.9457629964484926,0.04282015072950739,0.22894162503945292,0.9457629964484926,0.04282015072950739,0.22894162503945292,0.023556637150442317,0.00046997138081827927,0.004990879918103204,0.004091753985931312,0.003243533849556973,7.5733080384621845,0.29163002168956803,1.724603421271618,1.4464278042016732,1.0167632311725483,25,True
7,0.9461366403459919,0.04271159490274739,0.2280332820954838,0.9461366403459919,0.04271159490274739,0.2280332820954838,0.02313635493700117,0.000458567456804726,0.004888798191380157,0.004004332889425921,0.0031851687863365613,8.465040085132728,0.17983889789093155,1.8449893427597825,1.5238819819740002,1.1704482049785043,25,False
8,0.9529330122546187,0.04111928294572232,0.24752545688447203,0.9529330122546187,0.04111928294572232,0.24752545688447203,0.009542623577562637,0.000380618982806169,0.0024846916801743815,0.0020709506181511017,0.0015451037513322268,9.20174496867986,8.976446125538699,9.028186455910777,9.018012330622694,0.03799496978063279,25,True
9,0.952933018950088,0.04111928017642349,0.2475254271194549,0.952933018950088,0.04111928017642349,0.2475254271194549,0.009542625424256101,0.00038061905769737336,0.0024846921684732876,0.002070951028272816,0.0015451040540602474,6.852897905486259,0.27343631665087287,1.7129441135282861,1.4795565113383873,1.0167201454996082,25,False
10,0.9805324045329453,0.026794202715557092,0.113568996510927,0.9805324045329453,0.026794202715557092,0.113568996510927,0.008237446211863286,0.0001952169872687648,0.0012230589608605016,0.0009723766600302497,0.0009507319454963656,1.5112469606640127,0.35820622037474215,0.5234926462958072,0.4933997047139963,0.13585965885794307,250,True
11,0.9858003379660817,0.02318591159614015,0.10160562037187115,0.9858003379660817,0.02318591159614015,0.10160562037187115,0.002571115715401317,0.0007169917911013619,0.0009797751149178003,0.0009313822554446011,0.00021487083638681054,1.0810676946355882,0.379921000408852,0.48211764574326005,0.4636774961207477,0.08197517247939849,250,False
12,0.9793895254349022,0.02706292502244887,0.12969523168563502,0.9793895254349022,0.02706292502244887,0.12969523168563502,0.006522799379899524,0.00022984066260356428,0.0011091265054747168,0.0008770782198483928,0.0008392860112256777,1.225425161191804,0.328801697519434,0.47154023178872156,0.43600085654388054,0.12570134616657921,250,True
13,0.9794641468375561,0.026894459920095745,0.1308744205027077,0.9794641468375561,0.026894459920095745,0.1308744205027077,0.006555405257693829,0.00024263499826771424,0.0011494058651039915,0.0009148630518861541,0.0008525165931812282,1.001370574765457,0.34383141598378314,0.4494865349212745,0.42368121286504573,0.09249912447354826,250,False
