counter,n_samples,epsilon,beta_scale,delta
0,60,0.01,0.1111111111111111,0.05
1,60,0.05,0.1111111111111111,0.05
2,60,0.1,0.1111111111111111,0.05
3,100,0.01,0.1111111111111111,0.05
4,100,0.05,0.1111111111111111,0.05
5,100,0.1,0.1111111111111111,0.05
